,Education,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Marital_Status_group,Age,Age_group,Recency_group,MnProd,childnum,NumPurch
0,2,0.315922358804477,0.30703926349227456,0.9837812651523129,1.5515769812186038,1.6797023326128684,2.4621470460734924,1.4765001000700189,0.8432069073861739,3,8,10,4,7,0,3,1.0172961242361769,4,5,1.6941397364945363,0,22
1,2,-0.2566835245660025,-0.38366417634974903,-0.8704794810063111,-0.6363011552898765,-0.7132254067643876,-0.6504492534945548,-0.6315031783543306,-0.7290057871219767,2,1,1,2,5,0,3,1.2737216910085998,4,5,-0.9629407744624251,2,4
2,2,0.9701418160214696,-0.7980862402549632,0.3627227780575174,0.570804023473423,-0.17703233923726175,1.3452742562284872,-0.14690472354413533,-0.03876606758181304,1,8,2,10,4,0,4,0.33349461284304965,3,1,0.288727969378307,0,20
3,2,-1.2130334220250245,-0.7980862402549632,-0.8704794810063111,-0.5608570816171703,-0.6511865394471995,-0.5039741335148821,-0.5830433328733111,-0.7481791126647591,2,2,0,4,6,0,4,-1.2905339767156276,1,1,-0.9194916591889151,1,6
4,4,0.3234477032103125,1.550305455207917,-0.38908486421512983,0.4199158761280105,-0.21691446822688268,0.1551639063936456,-0.0015251871010767454,-0.5564458572369358,5,5,3,6,5,0,1,-1.034108409943205,2,0,-0.30284844626871454,1,14
5,3,0.5283312734853187,-1.143437960175975,0.642050518664746,0.3947678515704418,-0.3055414215371514,-0.6870680334894731,0.36192365400656973,-0.5756191827797181,2,6,4,10,6,0,4,0.1625442349947678,3,1,0.18846078028559152,1,20
6,2,0.19440018430250053,-0.5218048643181538,-0.20484741828270248,0.9731724163945228,-0.013072475613264588,0.22840146638348202,0.5315331131901381,-0.3263659507235479,4,7,3,7,6,0,0,-0.17935652070179584,3,5,-0.022100316809111085,1,17
7,4,-0.8825008754770998,-0.5908752083023561,-0.6773273199481211,-0.4099689342717579,-0.4916580234887158,-0.6321398634970958,-0.6315031783543306,-0.4030592528946772,2,4,0,4,8,0,1,-1.3760091656397686,1,5,-0.7256417602763316,1,8
8,4,-1.0331534154210202,-1.0398324441996714,-0.8615647658805485,-0.6614491798474453,-0.6334611487851458,-0.6321398634970958,-0.5830433328733111,-0.8056990892931061,1,3,0,2,9,0,4,-0.4357820874742186,2,1,-0.9311894979163985,1,5
9,4,-2.2324991112749255,0.6523909834132863,-0.8199627619603229,-0.6614491798474453,-0.7132254067643876,-0.668758643492014,-0.6315031783543306,-0.5947925083225005,1,1,0,0,20,0,4,1.6156224467051634,5,4,-0.9261761384617627,2,1
10,2,-0.01210983137634758,-1.3161138201364808,-0.8883089112578363,-0.5357090570596016,-0.7132254067643876,-0.6870680334894731,-0.6072732556138208,-0.8248724148358884,1,1,0,2,7,0,1,-1.205058787791487,1,3,-0.9763097330081205,1,3
11,1,-2.142583383277458,0.3415744354843757,-0.8853373395492488,-0.25908078692634545,-0.6910686684368205,-0.48566474351742295,-0.6315031783543306,-0.5372725316941535,1,2,0,3,8,0,1,-0.6067324653225004,2,5,-0.9061227006432196,0,5
12,2,0.5535775902016703,1.1358833913027029,-0.3266818583347915,0.8725803181642479,1.3872333866889814,3.4325447159388247,2.0580182458422533,-0.26884597409520095,1,3,4,8,2,0,0,0.8463457463878951,4,4,0.8335130301153947,0,15
13,3,0.3749598994334835,0.13436340353176865,-0.21079056169987753,-0.6111531307323078,-0.5049520664852561,-0.6321398634970958,-0.5345834873922916,-0.5756191827797181,3,6,1,5,6,0,0,1.4446720688568815,4,5,-0.4900138659084502,2,12
14,2,-1.6656707503837647,-0.38366417634974903,-0.8942520546750115,-0.3093768360414829,-0.6644805824437399,-0.5772116935047185,-0.6315031783543306,-0.7481791126647591,1,1,0,3,8,0,1,-1.5469595434880505,1,5,-0.9311894979163985,0,4
15,4,1.5132774796865158,-0.9016917562312667,2.08623436903829,-0.10819263958093302,-0.230208511223423,0.3931859763606139,0.9919016452598236,0.018753909046533936,1,7,6,12,3,0,3,1.957523202401727,5,1,1.1894615513945348,0,25
16,2,-0.47486996172616325,0.06529305954756628,-0.7456734692456345,-0.5357090570596016,-0.655617887112713,-0.6504492534945548,-0.34074410546821343,-0.7673524382075414,3,3,0,3,8,0,1,-0.9486332210190641,2,5,-0.8476335070058022,2,6
17,2,-0.6734419528220816,-1.0052972722075701,-0.6535547462794208,-0.5357090570596016,-0.5714222814679576,2.059340466129392,-0.3649740282087232,-0.3071926251807656,2,4,1,6,7,0,4,1.957523202401727,5,1,-0.4783160271809667,0,11
